aggregation_category,gas,sisepuede_fields,est_from_sisepuede
Fugitive Emissions,co2,emission_co2e_co2_fgtv_dtp_fuel_coal|emission_co2e_co2_fgtv_flaring_fuel_coal|emission_co2e_co2_fgtv_venting_fuel_coal|emission_co2e_co2_fgtv_dtp_fuel_crude|emission_co2e_co2_fgtv_dtp_fuel_oil|emission_co2e_co2_fgtv_flaring_fuel_crude|emission_co2e_co2_fgtv_flaring_fuel_oil|emission_co2e_co2_fgtv_venting_fuel_crude|emission_co2e_co2_fgtv_venting_fuel_oil|emission_co2e_co2_fgtv_dtp_fuel_natural_gas|emission_co2e_co2_fgtv_flaring_fuel_natural_gas|emission_co2e_co2_fgtv_venting_fuel_natural_gas,0
Fugitive Emissions,n2o,emission_co2e_n2o_fgtv_dtp_fuel_coal|emission_co2e_n2o_fgtv_flaring_fuel_coal|emission_co2e_n2o_fgtv_venting_fuel_coal|emission_co2e_n2o_fgtv_dtp_fuel_crude|emission_co2e_n2o_fgtv_dtp_fuel_oil|emission_co2e_n2o_fgtv_flaring_fuel_crude|emission_co2e_n2o_fgtv_flaring_fuel_oil|emission_co2e_n2o_fgtv_venting_fuel_crude|emission_co2e_n2o_fgtv_venting_fuel_oil|emission_co2e_n2o_fgtv_dtp_fuel_natural_gas|emission_co2e_n2o_fgtv_flaring_fuel_natural_gas|emission_co2e_n2o_fgtv_venting_fuel_natural_gas,0
IPPU,ch4,emission_co2e_ch4_ippu_production_chemicals|emission_co2e_ch4_ippu_production_plastic|emission_co2e_ch4_ippu_production_metals|emission_co2e_ch4_ippu_production_paper,0
IPPU,co2,emission_co2e_co2_ippu_production_cement|emission_co2e_co2_ippu_production_lime_and_carbonite|emission_co2e_co2_ippu_production_glass|emission_co2e_co2_ippu_production_chemicals|emission_co2e_co2_ippu_production_plastic|emission_co2e_co2_ippu_production_metals|emission_co2e_co2_ippu_production_product_use_lubricants|emission_co2e_co2_ippu_product_use_product_use_lubricants|emission_co2e_co2_ippu_production_product_use_paraffin_wax|emission_co2e_co2_ippu_product_use_product_use_paraffin_wax|emission_co2e_co2_ippu_product_use_product_use_other|emission_co2e_co2_ippu_production_paper,0
IPPU,hfcs,emission_co2e_hfcs_ippu_production_chemicals|emission_co2e_hfcs_ippu_production_metals|emission_co2e_hfcs_ippu_production_electronics|emission_co2e_hfcs_ippu_product_use_product_use_ods_refrigeration|emission_co2e_hfcs_ippu_product_use_product_use_ods_other,0
IPPU,n2o,emission_co2e_n2o_ippu_production_chemicals|emission_co2e_n2o_ippu_production_plastic|emission_co2e_n2o_ippu_production_other_product_manufacturing|emission_co2e_n2o_ippu_production_paper,0
IPPU,nf3,emission_co2e_nf3_ippu_production_chemicals|emission_co2e_nf3_ippu_production_electronics,0
IPPU,pfcs,emission_co2e_pfcs_ippu_production_chemicals|emission_co2e_pfcs_ippu_production_electronics|emission_co2e_pfcs_ippu_product_use_product_use_ods_other|emission_co2e_pfcs_ippu_production_other_product_manufacturing,0
IPPU,sf6,emission_co2e_sf6_ippu_production_chemicals|emission_co2e_sf6_ippu_production_metals|emission_co2e_sf6_ippu_production_electronics|emission_co2e_sf6_ippu_production_other_product_manufacturing,0
Industrial Combustion,ch4,emission_co2e_ch4_inen_metals|emission_co2e_ch4_inen_chemicals|emission_co2e_ch4_inen_plastic|emission_co2e_ch4_inen_paper|emission_co2e_ch4_inen_electronics|emission_co2e_ch4_inen_glass|emission_co2e_ch4_inen_other_product_manufacturing|emission_co2e_ch4_inen_recycled_glass|emission_co2e_ch4_inen_recycled_metals|emission_co2e_ch4_inen_recycled_paper|emission_co2e_ch4_inen_recycled_plastic|emission_co2e_ch4_inen_recycled_rubber_and_leather|emission_co2e_ch4_inen_recycled_textiles|emission_co2e_ch4_inen_recycled_wood|emission_co2e_ch4_inen_lime_and_carbonite|emission_co2e_ch4_inen_mining|emission_co2e_ch4_inen_wood|emission_co2e_ch4_inen_cement|emission_co2e_ch4_inen_rubber_and_leather|emission_co2e_ch4_inen_textiles|emission_co2e_ch4_inen_agriculture_and_livestock,0
Industrial Combustion,co2,emission_co2e_co2_inen_nbmass_metals|emission_co2e_co2_inen_nbmass_chemicals|emission_co2e_co2_inen_nbmass_plastic|emission_co2e_co2_inen_nbmass_paper|emission_co2e_co2_inen_nbmass_electronics|emission_co2e_co2_inen_nbmass_glass|emission_co2e_co2_inen_nbmass_other_product_manufacturing|emission_co2e_co2_inen_nbmass_recycled_glass|emission_co2e_co2_inen_nbmass_recycled_metals|emission_co2e_co2_inen_nbmass_recycled_paper|emission_co2e_co2_inen_nbmass_recycled_plastic|emission_co2e_co2_inen_nbmass_recycled_rubber_and_leather|emission_co2e_co2_inen_nbmass_recycled_textiles|emission_co2e_co2_inen_nbmass_recycled_wood|emission_co2e_co2_inen_nbmass_lime_and_carbonite|emission_co2e_co2_inen_nbmass_mining|emission_co2e_co2_inen_nbmass_wood|emission_co2e_co2_inen_nbmass_cement|emission_co2e_co2_inen_nbmass_rubber_and_leather|emission_co2e_co2_inen_nbmass_textiles|emission_co2e_co2_inen_nbmass_agriculture_and_livestock,0
Industrial Combustion,n2o,emission_co2e_n2o_inen_metals|emission_co2e_n2o_inen_chemicals|emission_co2e_n2o_inen_plastic|emission_co2e_n2o_inen_paper|emission_co2e_n2o_inen_electronics|emission_co2e_n2o_inen_glass|emission_co2e_n2o_inen_other_product_manufacturing|emission_co2e_n2o_inen_recycled_glass|emission_co2e_n2o_inen_recycled_metals|emission_co2e_n2o_inen_recycled_paper|emission_co2e_n2o_inen_recycled_plastic|emission_co2e_n2o_inen_recycled_rubber_and_leather|emission_co2e_n2o_inen_recycled_textiles|emission_co2e_n2o_inen_recycled_wood|emission_co2e_n2o_inen_lime_and_carbonite|emission_co2e_n2o_inen_mining|emission_co2e_n2o_inen_wood|emission_co2e_n2o_inen_cement|emission_co2e_n2o_inen_rubber_and_leather|emission_co2e_n2o_inen_textiles|emission_co2e_n2o_inen_agriculture_and_livestock,0
Livestock,ch4,emission_co2e_ch4_lvst_entferm_cattle_dairy|emission_co2e_ch4_lvst_entferm_cattle_nondairy|emission_co2e_ch4_lvst_entferm_buffalo|emission_co2e_ch4_lvst_entferm_sheep|emission_co2e_ch4_lvst_entferm_goats|emission_co2e_ch4_lvst_entferm_horses|emission_co2e_ch4_lvst_entferm_mules|emission_co2e_ch4_lvst_entferm_pigs|emission_co2e_ch4_lvst_entferm_chickens|emission_co2e_ch4_lsmm_anaerobic_digester|emission_co2e_ch4_lsmm_anaerobic_lagoon|emission_co2e_ch4_lsmm_composting|emission_co2e_ch4_lsmm_daily_spread|emission_co2e_ch4_lsmm_deep_bedding|emission_co2e_ch4_lsmm_dry_lot|emission_co2e_ch4_lsmm_incineration|emission_co2e_ch4_lsmm_liquid_slurry|emission_co2e_ch4_lsmm_paddock_pasture_range|emission_co2e_ch4_lsmm_poultry_manure|emission_co2e_ch4_lsmm_storage_solid,0
Livestock,n2o,emission_co2e_n2o_lsmm_direct_anaerobic_digester|emission_co2e_n2o_lsmm_direct_anaerobic_lagoon|emission_co2e_n2o_lsmm_direct_composting|emission_co2e_n2o_lsmm_direct_daily_spread|emission_co2e_n2o_lsmm_direct_deep_bedding|emission_co2e_n2o_lsmm_direct_dry_lot|emission_co2e_n2o_lsmm_direct_incineration|emission_co2e_n2o_lsmm_direct_liquid_slurry|emission_co2e_n2o_lsmm_direct_paddock_pasture_range|emission_co2e_n2o_lsmm_direct_poultry_manure|emission_co2e_n2o_lsmm_direct_storage_solid,0
Other  Combustion,ch4,emission_co2e_ch4_scoe_other_se,0
Other  Combustion,co2,emission_co2e_co2_scoe_nbmass_other_se,0
Other  Combustion,n2o,emission_co2e_n2o_scoe_other_se,0
Solid Waste,ch4,emission_co2e_ch4_waso_landfilled_chemical_industrial|emission_co2e_ch4_waso_landfilled_food|emission_co2e_ch4_waso_landfilled_glass|emission_co2e_ch4_waso_landfilled_metal|emission_co2e_ch4_waso_landfilled_nappies|emission_co2e_ch4_waso_landfilled_other|emission_co2e_ch4_waso_landfilled_paper|emission_co2e_ch4_waso_landfilled_plastic|emission_co2e_ch4_waso_landfilled_rubber_leather|emission_co2e_ch4_waso_landfilled_sludge|emission_co2e_ch4_waso_landfilled_textiles|emission_co2e_ch4_waso_landfilled_wood|emission_co2e_ch4_waso_landfilled_yard|emission_co2e_ch4_waso_open_dump_chemical_industrial|emission_co2e_ch4_waso_open_dump_food|emission_co2e_ch4_waso_open_dump_glass|emission_co2e_ch4_waso_open_dump_metal|emission_co2e_ch4_waso_open_dump_nappies|emission_co2e_ch4_waso_open_dump_other|emission_co2e_ch4_waso_open_dump_paper|emission_co2e_ch4_waso_open_dump_plastic|emission_co2e_ch4_waso_open_dump_rubber_leather|emission_co2e_ch4_waso_open_dump_sludge|emission_co2e_ch4_waso_open_dump_textiles|emission_co2e_ch4_waso_open_dump_wood|emission_co2e_ch4_waso_open_dump_yard|emission_co2e_ch4_waso_biogas_food|emission_co2e_ch4_waso_biogas_sludge|emission_co2e_ch4_waso_biogas_yard|emission_co2e_ch4_waso_compost_food|emission_co2e_ch4_waso_compost_sludge|emission_co2e_ch4_waso_compost_yard|emission_co2e_ch4_waso_incineration,0
Solid Waste,co2,emission_co2e_co2_waso_incineration,0
Solid Waste,n2o,emission_co2e_n2o_waso_compost_food|emission_co2e_n2o_waso_compost_sludge|emission_co2e_n2o_waso_compost_yard|emission_co2e_n2o_waso_incineration,0
Transportation,ch4,emission_co2e_ch4_trns_aviation|emission_co2e_ch4_trns_road_light|emission_co2e_ch4_trns_public|emission_co2e_ch4_trns_road_heavy_freight|emission_co2e_ch4_trns_road_heavy_regional|emission_co2e_ch4_trns_powered_bikes|emission_co2e_ch4_trns_rail_freight|emission_co2e_ch4_trns_rail_passenger|emission_co2e_ch4_trns_water_borne|emission_co2e_ch4_trns_human_powered,0
Transportation,co2,emission_co2e_co2_trns_aviation|emission_co2e_co2_trns_road_light|emission_co2e_co2_trns_public|emission_co2e_co2_trns_road_heavy_freight|emission_co2e_co2_trns_road_heavy_regional|emission_co2e_co2_trns_powered_bikes|emission_co2e_co2_trns_rail_freight|emission_co2e_co2_trns_rail_passenger|emission_co2e_co2_trns_water_borne|emission_co2e_co2_trns_human_powered,0
Transportation,n2o,emission_co2e_n2o_trns_aviation|emission_co2e_n2o_trns_road_light|emission_co2e_n2o_trns_public|emission_co2e_n2o_trns_road_heavy_freight|emission_co2e_n2o_trns_road_heavy_regional|emission_co2e_n2o_trns_powered_bikes|emission_co2e_n2o_trns_rail_freight|emission_co2e_n2o_trns_rail_passenger|emission_co2e_n2o_trns_water_borne|emission_co2e_n2o_trns_human_powered,0
Wastewater Treatment,ch4,emission_co2e_ch4_trww_treated_advanced_aerobic_treatment|emission_co2e_ch4_trww_treated_advanced_anaerobic_treatment|emission_co2e_ch4_trww_treated_latrine_improved_treatment|emission_co2e_ch4_trww_treated_latrine_unimproved_treatment|emission_co2e_ch4_trww_treated_primary_treatment|emission_co2e_ch4_trww_treated_secondary_aerobic_treatment|emission_co2e_ch4_trww_treated_secondary_anaerobic_treatment|emission_co2e_ch4_trww_treated_septic_treatment|emission_co2e_ch4_trww_untreated_no_sewerage_treatment|emission_co2e_ch4_trww_untreated_with_sewerage_treatment,0
Wastewater Treatment,n2o,emission_co2e_n2o_trww_treated_advanced_aerobic_effluent|emission_co2e_n2o_trww_treated_advanced_aerobic_treatment|emission_co2e_n2o_trww_treated_advanced_anaerobic_effluent|emission_co2e_n2o_trww_treated_advanced_anaerobic_treatment|emission_co2e_n2o_trww_treated_latrine_improved_effluent|emission_co2e_n2o_trww_treated_latrine_improved_treatment|emission_co2e_n2o_trww_treated_latrine_unimproved_effluent|emission_co2e_n2o_trww_treated_latrine_unimproved_treatment|emission_co2e_n2o_trww_treated_primary_effluent|emission_co2e_n2o_trww_treated_primary_treatment|emission_co2e_n2o_trww_treated_secondary_aerobic_effluent|emission_co2e_n2o_trww_treated_secondary_aerobic_treatment|emission_co2e_n2o_trww_treated_secondary_anaerobic_effluent|emission_co2e_n2o_trww_treated_secondary_anaerobic_treatment|emission_co2e_n2o_trww_treated_septic_effluent|emission_co2e_n2o_trww_treated_septic_treatment|emission_co2e_n2o_trww_untreated_no_sewerage_effluent|emission_co2e_n2o_trww_untreated_no_sewerage_treatment|emission_co2e_n2o_trww_untreated_with_sewerage_effluent|emission_co2e_n2o_trww_untreated_with_sewerage_treatment,0
Wetlands,ch4,emission_co2e_ch4_lndu_wetlands,0
Carbon Capture Industries,ch4,emission_co2e_ch4_ccsq_direct_air_capture,1
Carbon Capture Industries,co2,emission_co2e_co2_ccsq_direct_air_capture,1
Carbon Capture Industries,n2o,emission_co2e_n2o_ccsq_direct_air_capture,1
Forest Land - Sequestration,co2,emission_co2e_co2_frst_sequestration_mangroves|emission_co2e_co2_frst_sequestration_primary|emission_co2e_co2_frst_sequestration_secondary,1
Forest Land Methane,ch4,emission_co2e_ch4_frst_methane_mangroves|emission_co2e_ch4_frst_methane_primary|emission_co2e_ch4_frst_methane_secondary,1
Other Land Use Conversion,co2,emission_co2e_co2_lndu_conversion_grasslands_to_croplands|emission_co2e_co2_lndu_conversion_pastures_to_croplands|emission_co2e_co2_lndu_conversion_flooded_to_croplands|emission_co2e_co2_lndu_conversion_wetlands_to_croplands|emission_co2e_co2_lndu_conversion_settlements_to_croplands|emission_co2e_co2_lndu_conversion_other_to_croplands|emission_co2e_co2_lndu_conversion_shrublands_to_croplands|emission_co2e_co2_lndu_conversion_croplands_to_grasslands|emission_co2e_co2_lndu_conversion_croplands_to_pastures|emission_co2e_co2_lndu_conversion_flooded_to_grasslands|emission_co2e_co2_lndu_conversion_flooded_to_pastures|emission_co2e_co2_lndu_conversion_wetlands_to_grasslands|emission_co2e_co2_lndu_conversion_wetlands_to_pastures|emission_co2e_co2_lndu_conversion_settlements_to_grasslands|emission_co2e_co2_lndu_conversion_settlements_to_pastures|emission_co2e_co2_lndu_conversion_other_to_grasslands|emission_co2e_co2_lndu_conversion_other_to_pastures|emission_co2e_co2_lndu_conversion_shrublands_to_grasslands|emission_co2e_co2_lndu_conversion_shrublands_to_pastures|emission_co2e_co2_lndu_conversion_croplands_to_wetlands|emission_co2e_co2_lndu_conversion_flooded_to_wetlands|emission_co2e_co2_lndu_conversion_grasslands_to_wetlands|emission_co2e_co2_lndu_conversion_other_to_wetlands|emission_co2e_co2_lndu_conversion_pastures_to_wetlands|emission_co2e_co2_lndu_conversion_settlements_to_wetlands|emission_co2e_co2_lndu_conversion_shrublands_to_wetlands|emission_co2e_co2_lndu_conversion_croplands_to_flooded|emission_co2e_co2_lndu_conversion_grasslands_to_flooded|emission_co2e_co2_lndu_conversion_other_to_flooded|emission_co2e_co2_lndu_conversion_pastures_to_flooded|emission_co2e_co2_lndu_conversion_settlements_to_flooded|emission_co2e_co2_lndu_conversion_shrublands_to_flooded|emission_co2e_co2_lndu_conversion_wetlands_to_flooded|emission_co2e_co2_lndu_conversion_croplands_to_settlements|emission_co2e_co2_lndu_conversion_grasslands_to_settlements|emission_co2e_co2_lndu_conversion_pastures_to_settlements|emission_co2e_co2_lndu_conversion_flooded_to_settlements|emission_co2e_co2_lndu_conversion_wetlands_to_settlements|emission_co2e_co2_lndu_conversion_other_to_settlements|emission_co2e_co2_lndu_conversion_shrublands_to_settlements|emission_co2e_co2_lndu_conversion_other_to_other|emission_co2e_co2_lndu_conversion_other_to_shrublands|emission_co2e_co2_lndu_conversion_shrublands_to_other|emission_co2e_co2_lndu_conversion_shrublands_to_shrublands|emission_co2e_co2_lndu_conversion_croplands_to_other|emission_co2e_co2_lndu_conversion_croplands_to_shrublands|emission_co2e_co2_lndu_conversion_grasslands_to_other|emission_co2e_co2_lndu_conversion_grasslands_to_shrublands|emission_co2e_co2_lndu_conversion_pastures_to_other|emission_co2e_co2_lndu_conversion_pastures_to_shrublands|emission_co2e_co2_lndu_conversion_flooded_to_other|emission_co2e_co2_lndu_conversion_flooded_to_shrublands|emission_co2e_co2_lndu_conversion_wetlands_to_other|emission_co2e_co2_lndu_conversion_wetlands_to_shrublands|emission_co2e_co2_lndu_conversion_settlements_to_other|emission_co2e_co2_lndu_conversion_settlements_to_shrublands,1
Other Not Estimated Conversion,co2,emission_co2e_co2_soil_soc_mineral_soils,1
Other Not Estimated Sequestration,co2,emission_co2e_co2_lndu_biomass_sequestration_settlements|emission_co2e_co2_lndu_conversion_settlements_to_settlements|emission_co2e_co2_lndu_biomass_sequestration_other|emission_co2e_co2_lndu_biomass_sequestration_shrublands,1
Other Not Estimated Soils,n2o,emission_co2e_n2o_soil_paddock_pasture_range,1
Wetlands,co2,emission_co2e_co2_lndu_biomass_sequestration_wetlands|emission_co2e_co2_lndu_conversion_wetlands_to_wetlands|emission_co2e_co2_lndu_conversion_flooded_to_flooded,1
Deforestation,co2,emission_co2e_co2_lndu_conversion_forests_mangroves_to_croplands|emission_co2e_co2_lndu_conversion_forests_primary_to_croplands|emission_co2e_co2_lndu_conversion_forests_secondary_to_croplands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_grasslands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_pastures|emission_co2e_co2_lndu_conversion_forests_primary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_primary_to_pastures|emission_co2e_co2_lndu_conversion_forests_secondary_to_grasslands|emission_co2e_co2_lndu_conversion_forests_secondary_to_pastures|emission_co2e_co2_lndu_conversion_forests_mangroves_to_settlements|emission_co2e_co2_lndu_conversion_forests_primary_to_settlements|emission_co2e_co2_lndu_conversion_forests_secondary_to_settlements|emission_co2e_co2_lndu_conversion_forests_mangroves_to_flooded|emission_co2e_co2_lndu_conversion_forests_mangroves_to_other|emission_co2e_co2_lndu_conversion_forests_mangroves_to_shrublands|emission_co2e_co2_lndu_conversion_forests_mangroves_to_wetlands|emission_co2e_co2_lndu_conversion_forests_primary_to_flooded|emission_co2e_co2_lndu_conversion_forests_primary_to_other|emission_co2e_co2_lndu_conversion_forests_primary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_primary_to_wetlands|emission_co2e_co2_lndu_conversion_forests_secondary_to_flooded|emission_co2e_co2_lndu_conversion_forests_secondary_to_other|emission_co2e_co2_lndu_conversion_forests_secondary_to_shrublands|emission_co2e_co2_lndu_conversion_forests_secondary_to_wetlands,0
